BatchSampleTime,ProbabilityComplaints
8/11/16 13:00,0
10/12/16 11:04,0
10/20/16 15:07,0.048346262
11/18/16 10:23,0.015037555
11/18/16 12:11,0.015037555
12/6/16 15:07,0.048346262
12/6/16 23:22,0.048346262
12/12/16 11:14,0.048346262
12/12/16 13:00,0.048346262
1/5/17 13:01,0.015037555
1/17/17 10:22,0.015037555
1/23/17 11:49,0.048346262
1/23/17 15:20,0.048346262
1/26/17 12:41,0
2/2/17 16:00,0.015037555
2/3/17 11:30,0.015037555
2/6/17 15:27,0.048346262
2/6/17 23:25,0.048346262
2/7/17 10:30,0.015037555
2/7/17 13:24,0.048346262
2/7/17 18:14,0.048346262
2/7/17 22:32,0.048346262
2/7/17 20:04,0.048346262
2/8/17 22:43,0.048346262
2/9/17 13:02,0.048346262
2/9/17 20:19,0.048346262
2/9/17 23:01,0
2/10/17 11:11,0.015037555
2/13/17 15:10,0.048346262
2/13/17 23:05,0.048346262
2/14/17 13:08,0.048346262
2/14/17 23:24,0.015037555
2/16/17 17:22,0.048346262
2/16/17 20:36,0.015037555
2/22/17 23:03,0.048346262
2/27/17 13:37,0.048346262
3/6/17 12:38,0.048346262
3/6/17 13:00,0.048346262
3/6/17 14:29,0.015037555
3/6/17 17:39,0.048346262
3/7/17 13:00,0.015037555
3/8/17 13:10,0.015037555
3/10/17 22:07,0.546031746
3/13/17 13:00,0
3/14/17 13:00,0.048346262
3/14/17 21:04,0.048346262
3/16/17 11:04,0.015037555
3/16/17 13:51,0.015037555
3/17/17 22:29,0.048346262
3/17/17 15:27,0.048346262
3/19/17 14:01,0.048346262
3/20/17 13:35,0.048346262
3/25/17 17:34,0
3/27/17 13:07,0.048346262
3/27/17 15:33,0.015037555
3/27/17 22:42,0.048346262
3/30/17 10:32,0
3/30/17 13:02,0.015037555
3/30/17 20:33,0.015037555
3/30/17 23:02,0.015037555
3/31/17 16:08,0.015037555
4/1/17 13:00,0.015037555
4/1/17 18:07,0
4/3/17 23:00,0.048346262
4/4/17 11:12,0.048346262
4/4/17 13:15,0.048346262
4/5/17 20:08,0.048346262
4/6/17 13:09,0.048346262
4/7/17 13:10,0.048346262
4/7/17 23:12,0.015037555
4/8/17 15:22,0.9
4/10/17 18:13,0
4/10/17 20:13,0
4/10/17 23:40,0
4/11/17 17:51,0.048346262
4/11/17 23:04,0
